,Meta-Two build,Exp. Start Time,Game Start,GameStart Tick,CPU Tick Frequency,SID,USID,ECID,Environment,Task,SessionNr.,GameNr.,Input type,Connected Inputs,randSeed,Screen resolution,Screen dpi,Fullscreen,Window height,Window width,md5sum study,md5sum task,md5sum environment,gameID
0,10/17/2018 2:06:55 PM,2018-10-20_13-10-31,2018-10-20_13-14-05,889601272858,2742187,002,002,CTWC18,2. 9 'till Die,2. 9 'till Die,1,2,converted,-,2114,1920 x 1080 @ 60Hz,96,True,1080,1920,-,-,-,1.0
0,10/18/2019 3:44:43 PM,2019-10-19_05-41-10,2019-10-19_05-41-25,83757310411,10000000,19CWTC003,19CWTC003,SPEEDTETRIS,classic-tetris,zerotillnineteen,1,1,converted, NES PC Game Pad   _,907,1920 x 1080 @ 60Hz,96,True,1080,1920,e28f7b28ed14f38eb7c97752eb03919a,3184fa42c2af6f816b230fb467c43205,20973eb8084042fc1626748f12fea9a7,2.0
